transaction_id,timestamp,amount,merchant_name,merchant_category,spending_category,transaction_type,payment_method,city,country,currency
e3402c8f-d7dd-4e38-b5f9-2601800c4ca2,2024-02-14T02:59:18Z,-168.32,Fine Dining,restaurant,dining,debit,credit_card,San Antonio,US,USD
c4a9e746-e6e2-46e9-a2db-0221872c1110,2024-02-15T02:50:39Z,-64.18,Spotify,streaming_service,subscriptions,debit,credit_card,Washington,US,USD
f11b84a9-4fab-4aac-9f1f-4b7ac149bd11,2024-03-08T15:02:15Z,4537.49,Innovate X,employer,income,credit,bank_transfer,Fort Worth,US,USD
8acc9810-9084-40a4-a42e-ddb1ad9e6c14,2024-04-18T10:39:13Z,-166.50,Whole Foods,supermarket,groceries,debit,debit_card,Austin,US,USD
ffc66793-18ee-4072-8dd1-8ce06b7ff9a9,2024-04-03T18:04:19Z,-216.71,Whole Foods,supermarket,groceries,debit,credit_card,Austin,US,USD
6f3bb96a-8e92-4560-bae8-f6fd8468a21b,2024-01-20T03:36:31Z,-25.10,Newspaper Digital,subscription_service,subscriptions,debit,debit_card,Washington,US,USD
966303b7-0e2c-440c-afb4-222ca0381850,2024-03-05T01:54:33Z,-1104.99,City Properties,landlord,rent,debit,bank_transfer,Houston,US,USD
63423e06-11c7-40f0-a832-3aa56a0b3ee6,2024-02-09T08:52:19Z,-135.25,Sushi House,restaurant,dining,debit,mobile_wallet,Austin,US,USD
c835571e-e90b-43ab-8307-99920a0fcf8d,2024-04-19T06:04:36Z,-35.13,Hulu,streaming_service,subscriptions,debit,debit_card,San Antonio,US,USD
37809f20-46fe-4bfd-a20e-a395a36ae94c,2024-04-20T21:49:50Z,-69.54,Kroger,supermarket,groceries,debit,debit_card,San Diego,US,USD
9a068220-ae09-4b2a-8656-ff006112f76b,2024-04-23T10:48:47Z,-124.97,Amazon.com,ecommerce,shopping,debit,debit_card,Jacksonville,US,USD
4103b4ed-9067-4bca-86af-fbf721a98eaa,2024-04-01T04:22:15Z,-169.17,Pizza Palace,restaurant,dining,debit,cash,Austin,US,USD
e437e0cf-7619-4706-88fd-509aa7d46b60,2024-02-15T09:27:07Z,-109.80,Target Online,ecommerce,shopping,debit,credit_card,Phoenix,US,USD
0d5a9750-57ba-445a-b21e-06ac264b7f94,2024-02-01T23:54:19Z,-14.97,Disney+,streaming_service,subscriptions,debit,credit_card,Washington,US,USD
b797ad2e-f998-46e9-897d-682c2ef7d5ac,2024-04-28T07:22:21Z,-179.91,Pizza Palace,restaurant,dining,debit,debit_card,Los Angeles,US,USD
6d2c4701-39c4-413c-8677-0a75e69c2d9b,2024-03-24T18:31:01Z,-94.12,Trader Joe's,supermarket,groceries,debit,debit_card,New York,US,USD
58628bda-d469-461e-baca-77e6df344d05,2024-03-08T00:54:57Z,-121.73,Whole Foods,supermarket,groceries,debit,credit_card,Philadelphia,US,USD
c4f9979e-f13c-43b4-ac0c-2575cc312110,2024-02-18T16:03:04Z,-13.79,Gym Membership,subscription_service,subscriptions,debit,debit_card,Houston,US,USD
0a5163f5-f6ca-4df8-bf62-792d7e151fc1,2024-03-07T14:48:54Z,-140.23,Cafe Blend,restaurant,dining,debit,debit_card,San Diego,US,USD
66dd2c3f-53e9-4b65-97af-7ea90de7242f,2024-04-10T12:00:19Z,-123.00,City Water Dept,utility_provider,utilities,debit,credit_card,Charlotte,US,USD
c8d5620e-a132-4d5d-898c-7d5c40693954,2024-03-12T10:14:46Z,-14.65,Burger Joint,restaurant,dining,debit,mobile_wallet,Austin,US,USD
